"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.768634139E1,1.767991359E1,1.131132188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.027405262E-2,4.768634367E1,1.767991092E1,1.131132188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.027405262E-2,4.768634230E1,1.767991245E1,1.131132188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.014329910E-1,4.768633920E1,1.767990894E1,1.131132188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.005503058E0,4.768634039E1,1.767990862E1,1.131132188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.514958143E0,4.768665393E1,1.768004232E1,1.143020970E2,6.979426742E-1,-1.000000000E0,2.400000000E1,2.400000000E1
4.514967442E0,4.768669249E1,1.768008043E1,1.004740402E2,5.570103168E0,-1.000000000E0,2.400000000E1,2.400000000E1
5.514975905E0,4.768674786E1,1.768008971E1,1.004740402E2,5.570103168E0,-1.000000000E0,2.400000000E1,2.400000000E1
6.522454619E0,4.768684174E1,1.768012696E1,1.004740402E2,6.128459454E0,-1.000000000E0,2.400000000E1,2.400000000E1
7.530088305E0,4.768691976E1,1.768016103E1,1.004740402E2,8.289637566E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.530098200E0,4.768699872E1,1.768017257E1,1.004740402E2,9.355510712E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.530107379E0,4.768707416E1,1.768016542E1,1.004740402E2,8.493744850E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.052070785E1,4.768714869E1,1.768017096E1,1.004740402E2,9.228280067E0,-1.000000000E0,1.600000000E1,1.600000000E1
1.152071726E1,4.768724895E1,1.768019619E1,1.206033488E2,9.095627785E0,-1.000000000E0,1.600241655E1,1.600241655E1
1.252072692E1,4.768732611E1,1.768017130E1,1.147984035E2,9.215416908E0,3.594913795E2,1.600241655E1,1.600241655E1
1.381973827E1,4.768743439E1,1.768009449E1,1.162308398E2,9.652447701E0,2.289251089E0,1.600241655E1,1.600241655E1
1.481974900E1,4.768750674E1,1.768009877E1,1.163740834E2,9.260125160E0,2.289251089E0,1.200181241E1,1.200181241E1
1.581975830E1,4.768760298E1,1.768010420E1,1.163884078E2,9.260125160E0,2.003025770E0,1.200181241E1,1.200181241E1
1.681976783E1,4.768768084E1,1.768010823E1,1.163898402E2,8.551911354E0,2.003025770E0,1.200181241E1,1.200181241E1
1.781977785E1,4.768775790E1,1.768011222E1,1.163899835E2,8.754848480E0,2.003025770E0,1.200181241E1,1.200181241E1
1.881978786E1,4.768783667E1,1.768011630E1,1.163899978E2,8.747921944E0,2.003025770E0,8.001208274E0,8.001208274E0
1.981979930E1,4.768791847E1,1.768012054E1,1.163899992E2,8.747921944E0,2.003025770E0,8.001208274E0,8.001208274E0
2.081980824E1,4.768799741E1,1.768012463E1,1.163899994E2,8.435544014E0,2.003025770E0,8.001208274E0,8.001208274E0
2.181999493E1,4.768807552E1,1.768012867E1,1.163899994E2,8.607147217E0,2.003025770E0,8.001208274E0,8.001208274E0
2.282000518E1,4.768815172E1,1.768013262E1,1.163899994E2,8.435544014E0,2.003025770E0,8.001208274E0,8.001208274E0
2.381995857E1,4.768822363E1,1.768013635E1,1.163899994E2,8.171632767E0,2.003025770E0,8.001208274E0,8.001208274E0
2.481990623E1,4.768828808E1,1.768013853E1,1.163899994E2,7.536871910E0,1.276853919E0,8.001208274E0,8.001208274E0
2.581988072E1,4.768834752E1,1.768014049E1,1.163899994E2,7.536871910E0,1.276853919E0,8.001208274E0,8.001208274E0
2.681985724E1,4.768842337E1,1.768014024E1,1.163899994E2,7.115065098E0,3.576070862E2,6.000906205E0,6.000906205E0
2.781984675E1,4.768846323E1,1.768013169E1,1.163899994E2,7.084079266E0,3.474342651E2,6.000906205E0,6.000906205E0
2.881983364E1,4.768851113E1,1.768009820E1,1.163899994E2,7.084079266E0,3.297507935E2,6.000906205E0,6.000906205E0
2.981983030E1,4.768854394E1,1.768005777E1,1.163899994E2,7.988286018E0,3.119000244E2,9.857077709E0,9.857077709E0
3.081982839E1,4.768858904E1,1.767997013E1,1.163899994E2,7.988286018E0,2.947080994E2,1.029910389E1,1.029910389E1
3.181982672E1,4.768861063E1,1.767988423E1,1.163899994E2,7.870623112E0,2.807522278E2,1.200181241E1,1.200181241E1
3.281982589E1,4.768861785E1,1.767982358E1,1.163899994E2,7.870623112E0,2.741716919E2,8.001208274E0,8.001208274E0
3.381982684E1,4.768862093E1,1.767973916E1,1.163899994E2,7.881523609E0,2.716797791E2,8.001208274E0,8.001208274E0
3.481982815E1,4.768861678E1,1.767960633E1,1.163899994E2,8.813341141E0,2.662748718E2,8.001208274E0,8.001208274E0
3.581982946E1,4.768861258E1,1.767951090E1,1.163899994E2,9.087563515E0,2.662748718E2,8.001208274E0,8.001208274E0
3.681983232E1,4.768860728E1,1.767939038E1,1.163899994E2,9.087563515E0,2.662748718E2,8.001208274E0,8.001208274E0
3.781983495E1,4.768860170E1,1.767926350E1,1.163899994E2,9.254593849E0,2.662748718E2,8.001208274E0,8.001208274E0
3.881983876E1,4.768859625E1,1.767913934E1,1.163899994E2,9.275595665E0,2.662748718E2,8.001208274E0,8.001208274E0
3.981984258E1,4.768859066E1,1.767901228E1,1.163899994E2,9.314455032E0,2.662748718E2,8.001208274E0,8.001208274E0
4.081984782E1,4.768858909E1,1.767897659E1,1.163899994E2,9.314455032E0,2.662748718E2,6.000906205E0,6.000906205E0
4.181985402E1,4.768866708E1,1.767873741E1,1.164038971E2,9.884387016E0,2.675549842E2,6.000906205E0,6.000906205E0
