"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.529992500E-1,-1.321751404E-1,-2.433938599E-1,9.749076691E0
7.630402500E-1,-1.904040527E-1,-1.901046753E-1,9.697434082E0
7.730802500E-1,2.754272461E-2,-2.089654541E-1,9.693691864E0
7.831202500E-1,7.274871826E-2,-2.463876343E-1,9.730215912E0
7.931602500E-1,-1.627116394E-1,-2.116598511E-1,9.751322021E0
8.032012500E-1,-2.071691895E-1,-1.588197327E-1,9.723479919E0
8.132412500E-1,5.837860107E-3,-1.983375549E-1,9.704469452E0
8.232812500E-1,-5.493576050E-2,-2.336640930E-1,9.732311554E0
8.333212500E-1,-2.362088013E-1,-1.859133911E-1,9.729317780E0
8.433622500E-1,-1.682501221E-1,-1.386117554E-1,9.687554626E0
8.534022500E-1,4.131408691E-2,-1.956431580E-1,9.720336456E0
8.634422500E-1,-1.112187195E-1,-2.098635864E-1,9.752669220E0
8.734832500E-1,-2.088157654E-1,-1.432521057E-1,9.742789764E0
8.835232500E-1,-6.092330933E-2,-1.300794983E-1,9.702523499E0
8.935632500E-1,3.547622681E-2,-2.143542480E-1,9.764794006E0
9.036032500E-1,-1.751358032E-1,-2.112107849E-1,9.770781555E0
9.136442500E-1,-1.713935852E-1,-1.371148682E-1,9.717791748E0
9.236842500E-1,-1.197509766E-3,-1.718426514E-1,9.708960114E0
9.337242500E-1,7.634124756E-3,-2.481838989E-1,9.772128754E0
9.437652500E-1,-1.537303162E-1,-2.073188782E-1,9.793384552E0
9.538052500E-1,-1.215472412E-1,-1.465452576E-1,9.743837585E0
9.638452500E-1,2.948867798E-2,-2.236349487E-1,9.766440582E0
9.738852500E-1,-1.002914429E-1,-2.588117981E-1,9.809401245E0
9.839262500E-1,-2.067201233E-1,-1.733395386E-1,9.744136963E0
9.939662500E-1,-2.664459229E-2,-9.744735718E-2,9.710157623E0
1.004006250E0,3.338058472E-2,-1.678010559E-1,9.757309570E0
1.014047250E0,-1.746867371E-1,-2.005828857E-1,9.798174591E0
1.024087250E0,-2.255809021E-1,-1.219963074E-1,9.727222137E0
1.034137167E0,-1.167572021E-2,-6.855743408E-2,9.699230347E0
1.044177167E0,8.981323242E-4,-1.249900818E-1,9.740544434E0
1.054218167E0,-1.751358032E-1,-1.043330383E-1,9.760453033E0
1.064258167E0,-1.366658020E-1,-6.017486572E-2,9.703721008E0
1.074298167E0,4.370910645E-2,-7.409591675E-2,9.686207428E0
1.084339167E0,-1.431024170E-1,-1.501377869E-1,9.773026886E0
1.094379167E0,-3.107537842E-1,-1.598675537E-1,9.802066498E0
1.104419167E0,-8.921447754E-2,-8.681945801E-2,9.714049530E0
1.114459167E0,1.848655701E-1,-1.318757629E-1,9.685758362E0
1.124500167E0,2.110610962E-2,-2.131567383E-1,9.757459259E0
1.134540167E0,-4.011657715E-2,-1.797761536E-1,9.741442566E0
1.144580167E0,9.714797974E-2,-1.555265808E-1,9.749226379E0
1.154621167E0,8.696914673E-2,-2.628533936E-1,9.801767120E0
1.164661167E0,-1.555265808E-1,-2.408491516E-1,9.793534241E0
1.174701167E0,-1.392105103E-1,-9.355545044E-2,9.728269958E0
1.184741167E0,6.526428223E-2,-1.125659180E-1,9.715097351E0
1.194782167E0,-9.879455566E-3,-1.803749084E-1,9.746082916E0
1.204822167E0,-1.552272034E-1,-9.295669556E-2,9.739197235E0
1.214862167E0,-6.107299805E-2,-6.616241455E-2,9.704020386E0
1.224903167E0,1.344204712E-1,-1.782792664E-1,9.781259766E0
1.234943167E0,-1.841171265E-2,-1.809736633E-1,9.795779572E0
1.244983167E0,-1.820214844E-1,-4.954696655E-2,9.690698090E0
1.255023167E0,-5.703140259E-2,2.399510193E-1,9.644593964E0
1.265064167E0,6.735992432E-2,6.632707214E-1,9.540410614E0
1.275104167E0,-1.893562317E-1,1.291813660E-1,9.712253265E0
1.285144167E0,-2.475851440E-1,-3.637435913E-1,9.972861328E0
1.295185167E0,3.173400879E-2,5.837860107E-3,9.656419373E0
1.305225167E0,8.232879639E-3,3.715274048E-1,9.570348358E0
1.315265167E0,-2.016307068E-1,2.249821472E-1,9.779014435E0
1.325305167E0,-1.005908203E-1,9.550140381E-2,9.756112061E0
1.335346167E0,1.386117554E-1,-4.640350342E-3,9.769434357E0
1.345386167E0,-1.007405090E-1,-1.309776306E-1,9.713001709E0
1.355426167E0,-3.344046021E-1,-3.143463135E-2,9.801018677E0
1.365467167E0,-8.966354370E-2,6.735992432E-3,9.817634125E0
1.375507167E0,1.318757629E-1,-2.872526550E-1,9.820029144E0
1.385547167E0,-1.890568542E-1,-2.573149109E-1,9.846524048E0
1.395587167E0,-2.083666992E-1,4.490661621E-3,9.720037079E0
1.405628167E0,-3.592529297E-2,-3.427871704E-2,9.730365601E0
1.415668167E0,1.660047913E-1,-3.061134338E-1,9.829908600E0
1.425708167E0,-2.230361938E-1,-7.933502197E-2,9.763596497E0
1.435748167E0,-1.245410156E-1,1.895059204E-1,9.636660461E0
1.445789167E0,6.511459351E-2,2.544708252E-2,9.773775330E0
1.455829167E0,3.053649902E-2,-1.243913269E-1,9.931696930E0
1.465869167E0,-2.686912537E-1,-3.293151855E-2,9.803264008E0
1.475910167E0,-1.968406677E-1,-4.445755005E-2,9.666149139E0
1.485950167E0,5.673202515E-2,-1.366658020E-1,9.740245056E0
1.495990167E0,-4.939727783E-3,-1.543290710E-1,9.754315796E0
1.506030167E0,-1.544787598E-1,-1.556762695E-1,9.689799957E0
1.516071167E0,-6.631210327E-2,-9.774673462E-2,9.706116028E0
1.526111167E0,1.207987976E-1,4.490661621E-3,9.753267975E0
1.536151167E0,-2.649490356E-2,-7.574249268E-2,9.816436615E0
1.546192167E0,-1.541793823E-1,-1.324745178E-1,9.815688171E0
1.556232167E0,-4.894821167E-2,-3.637435913E-2,9.731263733E0
1.566272167E0,-1.152603149E-2,-5.837860107E-2,9.671837311E0
1.576312167E0,-1.444496155E-1,-1.621128845E-1,9.674980774E0
1.586353167E0,-8.741821289E-2,-5.523513794E-2,9.668544159E0
1.596393167E0,6.032455444E-2,-5.718109131E-2,9.680968323E0
1.606433167E0,-6.361770630E-2,-1.987866211E-1,9.794881439E0
1.616474167E0,-1.716929626E-1,-9.744735718E-2,9.800120544E0
1.626514167E0,-6.765930176E-2,1.002914429E-2,9.756561127E0
1.636554167E0,-1.616638184E-2,-1.562750244E-1,9.811347198E0
1.646594167E0,-2.097138977E-1,-1.922003174E-1,9.833351440E0
1.656635167E0,-1.465452576E-1,-4.685256958E-2,9.694589996E0
1.666675167E0,2.769241333E-2,-1.408570862E-1,9.711953888E0
1.676715167E0,-3.098556519E-2,-2.956352234E-1,9.893226929E0
1.686756167E0,-1.910028076E-1,-1.639091492E-1,9.865384827E0
1.696796167E0,-1.466949463E-1,-4.745132446E-2,9.785301361E0
1.706836167E0,5.104385376E-2,-1.877096558E-1,9.779912567E0
1.716876167E0,-6.047424316E-2,-1.948947144E-1,9.820777588E0
1.726917167E0,-1.945953369E-1,-1.097218323E-1,9.736502838E0
1.736957167E0,-8.038284302E-2,-1.514849854E-1,9.693542175E0
1.746997167E0,-9.729766846E-3,-2.505789185E-1,9.748777313E0
1.757038167E0,-1.770817566E-1,-2.318678284E-1,9.754914551E0
1.767078167E0,-1.639091492E-1,-1.529818726E-1,9.711654510E0
1.777118167E0,-2.260299683E-2,-1.405577087E-1,9.710157623E0
1.787158167E0,-1.631607056E-2,-1.939965820E-1,9.727521515E0
1.797199167E0,-1.703457642E-1,-1.742376709E-1,9.725874939E0
1.807239167E0,-1.574725342E-1,-1.487905884E-1,9.721384277E0
1.817279167E0,1.197509766E-3,-2.300715637E-1,9.751621399E0
1.827320167E0,-9.639953613E-2,-2.788700867E-1,9.794432373E0
1.837360167E0,-1.842668152E-1,-2.335144043E-1,9.760602722E0
1.847400167E0,-8.083190918E-2,-1.923500061E-1,9.729018402E0
1.857440167E0,2.888992310E-2,-2.426454163E-1,9.769134979E0
1.867481167E0,-1.483415222E-1,-2.342628479E-1,9.810748444E0
1.877521167E0,-5.942642212E-2,-1.910028076E-1,9.757010193E0
1.887561167E0,9.175918579E-2,-2.032772827E-1,9.747430115E0
1.897602167E0,-5.074447632E-2,-2.829116821E-1,9.789642334E0
1.907642167E0,-3.101550293E-1,-2.694396973E-1,9.801318054E0
1.917682167E0,-5.688171387E-2,-2.130070496E-1,9.732161865E0
1.927722167E0,1.630110168E-1,-2.339634705E-1,9.708511047E0
1.937763167E0,-2.002835083E-1,-2.912942505E-1,9.726174316E0
1.947803167E0,-2.567161560E-1,-2.481838989E-1,9.726324005E0
1.957843167E0,7.589218140E-2,-1.886077881E-1,9.702523499E0
1.967883167E0,1.648072815E-1,-3.153941345E-1,9.783804474E0
1.977924167E0,-3.347039795E-1,-3.463796997E-1,9.811496887E0
1.987964167E0,-1.908531189E-1,-2.399510193E-1,9.726024628E0
1.998004167E0,1.363664246E-1,-2.627037048E-1,9.764644318E0
2.008045167E0,-9.969268799E-2,-3.721261597E-1,9.820328522E0
2.018085167E0,-3.335064697E-1,-2.784210205E-1,9.714648285E0
2.028125167E0,-6.466552734E-2,-2.176473999E-1,9.635912018E0
2.038149500E0,-2.005828857E-2,-3.787124634E-2,9.800569611E0
2.048190500E0,-3.338058472E-1,7.361691284E-1,9.650431824E0
2.058230500E0,8.472381592E-2,1.008153534E0,9.517807617E0
2.068270500E0,3.243754578E-1,1.317260742E-1,9.835746460E0
2.078311500E0,-1.200503540E-1,-6.548881531E-1,9.904902649E0
2.088351500E0,-5.179229736E-2,-3.546125793E-1,9.560319214E0
2.098391500E0,-2.604583740E-2,1.504371643E-1,9.525890808E0
2.108431500E0,-5.078938293E-1,8.158035278E-2,9.798923035E0
2.118472500E0,-4.590953064E-1,1.532812500E-1,9.949659576E0
2.128512500E0,1.552272034E-1,5.099894714E-1,9.737550659E0
2.138552500E0,-3.113525391E-2,4.986131287E-1,9.642049255E0
2.148593500E0,-1.116677856E-1,2.639012146E-1,9.665251007E0
2.158633500E0,3.905378723E-1,2.724334717E-2,9.659113770E0
2.168673500E0,-6.496490479E-2,-1.486408997E-1,9.675729218E0
2.178713500E0,1.841171265E-2,1.965412903E-1,9.653724976E0
2.188754500E0,2.290237427E-2,7.860154724E-1,9.803563385E0
2.198794500E0,-3.143463135E-1,4.697232056E-1,9.904154205E0
2.208834500E0,-1.944456482E-1,4.323010254E-1,9.835297394E0
2.218875500E0,-1.017883301E-2,8.884025574E-1,9.576036530E0
2.228915500E0,-5.748046875E-2,7.084767151E-1,9.416468353E0
2.238955500E0,3.064128113E-1,3.763174438E-1,9.885742493E0
2.248995500E0,-1.356179810E-1,3.942800903E-1,9.876012726E0
2.259036500E0,3.676354980E-1,5.031037903E-1,9.672735443E0
2.269076500E0,-1.239422607E-1,1.133442993E0,9.795031128E0
2.279116500E0,6.571334839E-2,1.130000153E0,9.677824860E0
2.289157500E0,-4.061054993E-1,9.391470337E-1,9.783505096E0
2.299197500E0,1.402583313E-1,9.972262573E-1,9.755812683E0
2.309237500E0,-1.625619507E-1,1.166075134E0,9.663604431E0
2.319277500E0,2.839595032E-1,9.638456726E-1,9.732311554E0
2.329318500E0,-1.730401611E-1,1.137933655E0,9.993069305E0
2.339358500E0,1.933978271E-1,1.270108795E0,9.693392487E0
2.349398500E0,-1.299298096E-1,1.631457367E0,9.612410889E0
2.359439500E0,1.842668152E-1,1.839075623E0,9.686506805E0
2.369479500E0,-2.803669739E-1,1.613943787E0,9.694889374E0
2.379519500E0,6.601272583E-2,1.289268951E0,9.915829926E0
2.389559500E0,-3.951782227E-2,1.571132813E0,9.843230896E0
2.399600500E0,1.293310547E-1,1.779050446E0,9.840087433E0
2.409640500E0,2.574645996E-2,1.828896790E0,9.899214478E0
2.419680500E0,1.275347900E-1,1.940714264E0,9.969119110E0
2.429721500E0,6.721023560E-2,2.248025208E0,9.753567352E0
2.439761500E0,-6.316864014E-2,2.447111206E0,9.739795990E0
2.449801500E0,1.290316772E-1,2.377056885E0,9.793983307E0
2.459841500E0,-8.397537231E-2,2.364632721E0,9.933193817E0
2.469882500E0,2.068698120E-1,2.355651398E0,9.883347473E0
2.479922500E0,7.185058594E-3,2.516117706E0,9.943522339E0
2.489962500E0,1.493893433E-1,2.464026031E0,1.003617966E1
2.500003500E0,1.975891113E-1,2.553539886E0,9.916278992E0
