"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.545802500E-1,-1.077429391E-3,1.446776092E-3,-8.703833446E-4
1.646202500E-1,-2.516068518E-3,2.073950600E-3,8.915364742E-5
1.746612500E-1,-1.360942610E-3,4.806889221E-3,3.665853292E-4
1.847012500E-1,-1.860285178E-3,2.106709871E-3,9.520910680E-5
1.947412500E-1,-9.866338223E-4,-2.324884525E-3,-5.229581147E-4
2.047812500E-1,-2.397842705E-3,1.974788960E-3,-4.230896011E-4
2.148222500E-1,3.000701312E-3,2.218661830E-4,6.015226245E-5
2.248622500E-1,1.224905252E-3,1.099377405E-3,8.883951232E-4
2.349022500E-1,-3.597689793E-4,-1.046526711E-3,-5.364166573E-4
2.449432500E-1,-1.711589284E-3,3.604950383E-3,2.103308216E-3
2.549832500E-1,-1.152796671E-3,1.126930583E-3,1.184511930E-3
2.650232500E-1,-1.434292644E-3,3.391948994E-3,-6.408188492E-4
2.750632500E-1,-1.325588673E-3,3.719013184E-4,1.392704435E-3
2.851042500E-1,-1.172190532E-3,3.075541928E-3,1.512280665E-3
2.951442500E-1,1.987617929E-3,3.203735687E-3,4.749530926E-4
3.051842500E-1,-1.909120008E-3,3.498923033E-4,3.503169864E-4
3.152252500E-1,-2.594365738E-3,3.583887592E-4,1.234102994E-3
3.252652500E-1,-1.370376907E-3,2.089855261E-4,5.456758663E-4
3.353052500E-1,-3.712587059E-4,1.467311289E-3,3.117145970E-4
3.453452500E-1,-1.965959556E-3,3.959215246E-4,-3.183260560E-5
3.553862500E-1,-3.660129383E-3,3.635333385E-3,-3.642998636E-4
3.654262500E-1,-1.175925136E-4,4.888083786E-4,-3.896001726E-4
3.754662500E-1,-2.966423519E-3,1.026862301E-3,-1.671522856E-3
3.855072500E-1,-3.731283359E-3,-1.973987790E-3,-1.688300632E-3
3.955472500E-1,-3.177531064E-3,1.003531739E-3,2.466551960E-4
4.055872500E-1,-2.519729547E-3,6.538587622E-4,-7.938416675E-4
4.156272500E-1,-1.926487312E-3,9.363712743E-4,-7.889755070E-4
4.256682500E-1,-1.017017290E-3,5.696541630E-4,-1.428400166E-3
4.357082500E-1,-5.807918496E-4,1.809621695E-3,2.627065405E-4
4.457482500E-1,-2.791215666E-3,3.348130267E-3,-1.585260965E-3
4.557892500E-1,-1.193186268E-3,5.220528692E-4,-1.598326489E-4
4.658292500E-1,7.914016023E-4,7.596067153E-4,2.207451500E-3
4.758692500E-1,2.403240651E-4,2.920404077E-4,-3.305943683E-4
4.859092500E-1,-7.229414769E-4,3.473719116E-3,2.108594403E-3
4.959502500E-1,-1.185486093E-3,-1.964885741E-4,9.618606418E-5
5.059902500E-1,-2.170589752E-3,4.082678352E-3,7.001915947E-4
5.160302500E-1,-3.264818341E-3,-1.222877763E-4,1.922101714E-3
5.260712500E-1,-3.661096096E-3,1.345380209E-3,-2.440251410E-5
5.361112500E-1,-2.688262612E-3,1.202346291E-3,1.295495778E-3
5.461512500E-1,-1.207278110E-3,2.901442815E-3,2.396979369E-3
5.561912500E-1,-1.750840805E-3,1.585639548E-3,5.947584286E-4
5.662322500E-1,-1.364415511E-3,4.812269472E-4,7.757171988E-5
5.762722500E-1,-4.264011048E-3,3.990242258E-3,-2.852147445E-4
5.863122500E-1,-1.433016732E-4,1.108702272E-3,-4.532597959E-4
5.963522500E-1,-1.419791020E-3,5.907393061E-4,7.190369070E-4
6.063932500E-1,-2.233652398E-3,4.850118421E-4,2.982569858E-4
6.164332500E-1,-2.755246125E-3,1.761428080E-3,-1.150991768E-3
6.264732500E-1,-3.402819857E-5,4.189284518E-4,-7.824106142E-4
6.365142500E-1,9.104101919E-4,7.242253050E-4,-6.416253746E-4
6.465542500E-1,-4.306722432E-3,1.987838186E-4,-1.449627802E-3
6.565942500E-1,-2.614182420E-3,1.950793900E-3,-3.059869632E-4
6.666342500E-1,-1.327609643E-3,4.244307987E-3,-2.774912864E-4
6.766752500E-1,-2.004721202E-3,2.533889376E-3,-8.571017534E-4
6.867152500E-1,-2.339214087E-3,1.836407464E-3,6.672916934E-4
6.967552500E-1,6.038006395E-4,5.815698300E-3,4.294542596E-4
7.067962500E-1,2.009416930E-3,3.436430823E-3,-4.017185420E-4
7.168362500E-1,-7.408680394E-4,1.834346913E-3,-5.455827340E-4
7.268762500E-1,-7.563140243E-4,7.315319963E-4,1.306113787E-3
7.369162500E-1,1.569519751E-3,2.387034241E-3,1.266572624E-3
7.469572500E-1,4.512630403E-5,-9.831958450E-4,3.139860928E-5
7.569972500E-1,-1.477899030E-3,9.386409074E-4,-1.284328289E-3
7.670372500E-1,-2.336235717E-3,1.948511694E-3,9.127799422E-4
7.770782500E-1,-9.244931862E-4,-2.318946645E-4,-4.400489852E-4
7.871182500E-1,-9.804191068E-4,1.976398751E-3,4.518441856E-4
7.971582500E-1,1.143532805E-3,-1.235613599E-4,1.188434660E-3
8.071982500E-1,1.464710105E-3,-1.587150618E-4,5.290359259E-4
8.172392500E-1,2.322974149E-3,2.522212453E-3,-2.151411027E-4
8.272792500E-1,4.382130224E-3,4.427171312E-3,-1.440993510E-3
8.373192500E-1,3.452126402E-3,9.359684773E-4,-1.056542620E-3
8.473602500E-1,3.231616691E-3,1.890711486E-3,-1.002214849E-3
8.574002500E-1,3.870126791E-3,1.850528643E-3,-1.829821616E-3
8.674402500E-1,-7.215049118E-5,2.191413194E-3,-1.641004346E-3
8.774802500E-1,-2.329794690E-3,-1.686594915E-3,-2.950108610E-3
8.875212500E-1,-2.019293606E-4,1.594153233E-3,8.056871593E-5
8.975612500E-1,1.323902514E-3,1.242137048E-3,-1.502430066E-3
9.076012500E-1,-3.826515749E-4,-2.195204608E-3,-2.574352548E-3
9.176422500E-1,1.215740107E-3,1.381148584E-3,-1.522355713E-3
9.276822500E-1,1.320934854E-3,-6.974209100E-5,1.260381192E-3
9.377222500E-1,4.108422436E-3,-5.502132699E-4,-4.087090492E-4
9.477622500E-1,3.575523850E-3,-1.328122336E-3,1.345248893E-3
9.578032500E-1,-2.482300624E-4,2.223649994E-3,1.078675501E-3
