"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.485900000E-1,-1.080379076E-2,1.344592310E-3,-3.396692127E-2
1.586300000E-1,1.345816068E-3,8.800378069E-3,-3.570090607E-2
1.686710000E-1,-7.075425237E-3,5.301821511E-3,-2.796550468E-2
1.787110000E-1,-7.944947109E-3,6.663228851E-3,-2.882890031E-2
1.887510000E-1,-4.747504368E-3,-2.139524557E-3,-3.570172191E-2
1.987920000E-1,-8.226658218E-3,2.562534064E-5,-3.238661960E-2
2.088320000E-1,-5.337865092E-3,4.228487611E-3,-3.482352942E-2
2.188720000E-1,-1.014167536E-2,-3.288284177E-3,-3.646963090E-2
2.289120000E-1,-1.546210144E-2,7.337193936E-3,-2.779400535E-2
2.389530000E-1,-3.136991523E-3,1.029496081E-3,-3.157515824E-2
2.489620000E-1,-1.061405428E-2,-4.406117834E-3,-3.150791675E-2
2.590030000E-1,-7.910944521E-3,-2.894774079E-3,-3.169487044E-2
2.690430000E-1,3.373213578E-3,-1.078000292E-3,-3.708418086E-2
2.790830000E-1,-2.902308479E-4,3.116211854E-3,-3.305854648E-2
2.891240000E-1,-8.349339478E-3,1.692248043E-3,-2.868844010E-2
2.991640000E-1,-3.376686014E-3,9.803851135E-4,-3.111591004E-2
3.092040000E-1,-4.920935258E-3,3.372674808E-3,-3.176531568E-2
3.192440000E-1,-1.505958941E-2,2.615698613E-4,-2.738148719E-2
3.292850000E-1,2.484224737E-3,8.199752308E-3,-3.346720710E-2
3.393250000E-1,-9.513848461E-3,-2.214805223E-3,-3.117822111E-2
3.493650000E-1,-6.809733808E-3,2.251943108E-3,-2.812052146E-2
3.594060000E-1,8.101570420E-3,4.154772032E-3,-3.529055044E-2
3.694460000E-1,-6.399712525E-3,5.348431878E-3,-3.173563629E-2
3.794860000E-1,-2.894460224E-3,7.676834241E-3,-3.223950416E-2
3.895260000E-1,-3.690676764E-3,3.694144543E-3,-3.567604721E-2
3.995670000E-1,-1.278385520E-3,5.034246948E-3,-3.273245692E-2
4.096070000E-1,-5.765779875E-3,5.548406392E-3,-3.133043647E-2
4.196470000E-1,2.730769105E-3,-5.391593091E-3,-3.840725496E-2
4.296880000E-1,7.829651237E-3,1.217411365E-3,-3.241075203E-2
4.397280000E-1,-6.213197485E-3,4.259805661E-3,-3.431145102E-2
4.497680000E-1,-2.437101677E-3,1.460211352E-4,-3.463981673E-2
4.598080000E-1,-1.031792723E-2,5.360490177E-3,-3.152711689E-2
4.698490000E-1,-5.773837678E-3,4.394656979E-3,-3.656354547E-2
4.798890000E-1,1.467297785E-3,-1.259234268E-3,-3.613157943E-2
4.899290000E-1,-3.700232133E-3,-3.640298499E-3,-3.096904606E-2
4.999700000E-1,2.977111377E-3,-4.035511985E-3,-3.043108806E-2
5.100100000E-1,1.008588076E-2,-6.694308016E-3,-3.369652852E-2
5.200500000E-1,-7.838113233E-4,-1.444463991E-2,-2.923413366E-2
5.300900000E-1,9.499075823E-3,-1.036347076E-2,-3.666515648E-2
5.401310000E-1,8.113123477E-4,-1.663548127E-2,-3.522597998E-2
5.501710000E-1,-3.045367077E-3,-5.632239394E-3,-2.944532409E-2
5.602110000E-1,7.694628555E-3,6.181998178E-4,-3.315297514E-2
5.702520000E-1,-8.180851117E-3,-4.410772584E-3,-2.879657783E-2
5.802920000E-1,-6.778962910E-3,4.388844129E-3,-2.586017735E-2
5.903320000E-1,7.099600509E-3,8.554618806E-3,-3.169116378E-2
6.003720000E-1,2.878756262E-3,7.802010048E-3,-3.138463572E-2
6.104130000E-1,-1.110102516E-2,7.819743827E-3,-2.880616859E-2
6.204530000E-1,7.065727375E-3,9.203788824E-3,-3.391251713E-2
6.304930000E-1,-1.602947712E-3,3.859018907E-3,-2.904851735E-2
6.405340000E-1,-8.569776081E-3,1.153291762E-2,-2.678056806E-2
6.505740000E-1,1.369526237E-2,3.018160351E-4,-3.437376767E-2
6.606140000E-1,-6.442610174E-4,9.203698486E-3,-2.786340564E-2
6.706540000E-1,-1.856378093E-2,4.759286996E-3,-2.809204347E-2
6.806950000E-1,4.171002656E-4,6.965715904E-3,-3.446339071E-2
6.907350000E-1,-1.347464509E-3,8.875421248E-3,-2.863200009E-2
7.007734583E-1,-1.801533625E-3,3.630857915E-3,-2.789030969E-2
7.108134584E-1,1.176530495E-3,-5.460632965E-4,-3.109036572E-2
7.208544583E-1,-3.191320226E-3,8.921208791E-3,-2.365881391E-2
7.308944584E-1,-5.667909980E-3,6.076123100E-3,-2.620879002E-2
7.409344583E-1,-5.092401057E-3,-6.262835115E-3,-2.876356058E-2
7.509754584E-1,5.042617209E-3,-2.652047202E-3,-2.477494255E-2
7.610154584E-1,1.056734473E-2,6.560360081E-3,-2.280740067E-2
7.710554583E-1,5.207061768E-3,-2.639506944E-3,-2.021494694E-2
7.810954584E-1,1.298162807E-2,1.146725751E-2,-1.223691553E-2
7.911364583E-1,3.098547459E-3,8.386705071E-3,-1.660982519E-2
8.011764584E-1,1.257567201E-2,3.058785107E-3,-2.009670436E-2
8.112164583E-1,8.303785697E-3,9.245647117E-3,-1.378580928E-2
8.212574584E-1,7.485928945E-3,1.795098931E-2,-1.545321569E-2
8.312974584E-1,1.311218366E-4,7.345931605E-3,-1.334905159E-2
8.413374583E-1,8.398106322E-3,2.400107309E-2,-6.683957763E-3
8.513774584E-1,2.842536196E-4,9.254884906E-3,-1.186966617E-2
8.614184583E-1,1.144929044E-2,9.837851860E-3,-1.213997696E-2
8.714584584E-1,1.502937824E-2,1.470557693E-2,-7.528179325E-3
8.814984583E-1,1.591700874E-2,2.346258238E-2,-7.143619470E-3
8.915394584E-1,4.374353215E-3,1.441763341E-2,-4.006817006E-3
9.015794583E-1,1.275265776E-2,1.927870139E-2,8.425340056E-4
9.116194583E-1,1.313286088E-2,2.056040429E-2,-2.681361511E-3
9.216594584E-1,1.112749986E-2,8.743425831E-3,-4.855850711E-4
9.317004583E-1,1.709061116E-2,1.545866579E-2,4.297723062E-3
9.417404584E-1,2.839332446E-4,7.538424339E-3,2.219658345E-3
9.517804583E-1,2.429414727E-2,1.339762099E-2,3.301830031E-3
9.618214584E-1,2.499988489E-2,1.707544737E-2,6.777521223E-3
9.718614583E-1,-2.846989781E-3,-1.209602691E-3,7.359556388E-3
9.819014583E-1,2.038669214E-2,1.288863923E-2,6.801624317E-3
9.919414584E-1,7.289267145E-3,9.387382306E-3,1.381133031E-2
1.001982458E0,-4.262993112E-3,1.728663221E-3,1.269067265E-2
1.012022458E0,2.786991000E-2,5.759890191E-3,1.085602026E-2
1.022032458E0,1.797626540E-2,9.112809785E-3,1.711791009E-2
1.032072458E0,1.175991539E-2,4.528976977E-3,1.145443320E-2
1.042112458E0,2.300644480E-2,6.184929982E-3,1.428217720E-2
1.052153458E0,1.160651725E-2,6.419022568E-3,1.848571002E-2
1.062193458E0,1.352745574E-2,1.520403661E-3,1.682283357E-2
1.072233458E0,2.388108149E-2,1.110768691E-2,1.592841186E-2
1.082273458E0,1.394802518E-2,7.630664855E-3,1.503412146E-2
1.092314458E0,1.169285923E-2,6.633576937E-3,1.537260972E-2
1.102354458E0,1.927328110E-2,6.336634979E-3,1.720246673E-2
1.112394458E0,2.950076014E-4,5.327126011E-3,1.884097606E-2
1.122435458E0,1.957256533E-2,-1.235972531E-2,1.355513465E-2
1.132475458E0,8.355985396E-3,-2.137278393E-2,8.462507278E-3
1.142515458E0,2.823268063E-3,-6.676662713E-3,7.841457613E-3
