"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.314266968E-1,-1.511856079E-1,9.977950745E0
1.004000002E-2,-3.143463135E-3,-6.391708374E-2,9.864187317E0
2.008100000E-2,5.912704468E-2,-1.154100037E-1,9.749825134E0
3.012100002E-2,8.232879639E-3,-1.859133911E-1,9.694440308E0
4.016100004E-2,9.235794067E-2,-1.528321838E-1,9.726773071E0
5.020100001E-2,1.589694214E-1,-1.043330383E-1,9.788594513E0
6.024200004E-2,7.200027466E-2,-2.104623413E-1,9.713600464E0
7.028200000E-2,6.182144165E-2,-4.849914551E-2,9.569450226E0
8.032200002E-2,-4.056564331E-2,-3.338058472E-2,9.594747620E0
9.036300000E-2,2.380050659E-2,-1.528321838E-1,9.672735443E0
1.004030000E-1,3.592529297E-3,-5.807922363E-2,9.787995758E0
1.104130000E-1,1.808239746E-1,-1.067280579E-1,9.796378326E0
1.204530000E-1,-9.325607300E-2,-2.399510193E-1,9.679770813E0
1.304930000E-1,3.233276367E-2,-1.055305481E-1,9.509275360E0
1.405340000E-1,1.002914429E-2,-6.616241455E-2,9.487570496E0
1.505740000E-1,-5.493576050E-2,-2.559677124E-2,9.624086609E0
1.606140000E-1,1.817221069E-1,-8.173004150E-2,9.736652527E0
1.706540000E-1,5.792953491E-2,-1.281335449E-1,9.693691864E0
1.806950000E-1,1.038839722E-1,-2.694396973E-2,9.488019562E0
1.907350000E-1,7.978408813E-2,-7.080276489E-2,9.447304230E0
2.007750000E-1,-1.960922241E-2,-2.041754150E-1,9.565558319E0
2.108150000E-1,-6.706054688E-2,-1.377136230E-1,9.582173767E0
2.208560000E-1,1.261875916E-1,-8.113128662E-2,9.770482178E0
2.308960000E-1,1.911524963E-1,-2.647993469E-1,9.926906891E0
2.409360000E-1,5.897735596E-2,-9.639953613E-2,9.833351440E0
2.509770000E-1,8.711883545E-2,-1.466949463E-2,9.741292877E0
2.610170000E-1,-5.912704468E-2,-2.040257263E-1,9.836494904E0
2.710570000E-1,1.061293030E-1,-1.686991882E-1,9.623038788E0
2.810970000E-1,2.594105530E-1,-1.296304321E-1,9.642498322E0
2.911380000E-1,1.101708984E-1,-2.154020691E-1,9.784702606E0
3.011780000E-1,1.712438965E-1,-1.646575928E-1,9.841883698E0
3.112180000E-1,1.155596924E-1,-7.679031372E-2,9.810598755E0
3.212590000E-1,3.502716064E-2,-1.079255676E-1,9.711804199E0
3.312990000E-1,7.604187012E-2,-1.032852173E-1,9.627379761E0
3.413390000E-1,1.724414062E-1,-1.489402771E-1,9.833201752E0
3.513790000E-1,3.367996216E-2,-2.612068176E-1,9.818831635E0
3.614200000E-1,-1.571731567E-2,-1.933978271E-1,9.825717316E0
3.714600000E-1,1.305285645E-1,-1.658551025E-1,9.674232330E0
3.815000000E-1,-1.083746338E-1,-9.295669556E-2,9.574689331E0
3.915410000E-1,9.954299927E-2,-5.852828979E-2,9.591304779E0
4.015810000E-1,-5.194198608E-2,-1.971400452E-1,9.789342957E0
4.116210000E-1,2.200424194E-2,-2.245330811E-1,9.710756378E0
4.216610000E-1,7.484436035E-3,5.164260864E-2,9.574240265E0
4.317020000E-1,1.392105103E-2,-1.636097717E-1,9.554930420E0
4.417420000E-1,6.706054688E-2,-2.535726929E-1,9.424252167E0
4.517820000E-1,1.429527283E-1,-1.398092651E-1,9.528884583E0
4.618230000E-1,-1.676513672E-2,-4.385879517E-2,9.589059448E0
4.718630000E-1,-1.029858398E-1,-1.496887207E-1,9.634115753E0
4.819030000E-1,4.086502075E-2,-5.164260864E-2,9.756710815E0
4.919430000E-1,1.050814819E-1,-1.112187195E-1,9.698781281E0
5.019840000E-1,1.309776306E-1,-9.729766846E-2,9.658664703E0
5.120240000E-1,1.227447510E-1,-3.637435913E-2,9.645492096E0
5.220640000E-1,-8.681945801E-3,-6.286926270E-2,9.532477112E0
5.321050000E-1,2.694396973E-3,-1.219963074E-1,9.576784973E0
5.421450000E-1,7.469467163E-2,-5.912704468E-2,9.654323730E0
5.521850000E-1,3.248245239E-2,1.407073975E-2,9.626182251E0
5.622250000E-1,1.386117554E-1,1.040336609E-1,9.626032562E0
5.722660000E-1,1.164578247E-1,-1.781295776E-2,9.736353149E0
5.823060000E-1,2.514770508E-2,-1.616638184E-2,9.659413147E0
5.923460000E-1,1.526824951E-1,-6.451583862E-2,9.535770264E0
6.023870000E-1,6.271957397E-2,-1.240919495E-1,9.701475677E0
6.124270000E-1,5.269042969E-2,-1.308279419E-1,9.707163849E0
6.224670000E-1,3.712280273E-2,1.122665405E-1,9.688752136E0
6.325070000E-1,1.619631958E-1,-1.092727661E-2,9.780960388E0
6.425480000E-1,2.963836670E-2,-1.115180969E-1,9.610315247E0
6.525880000E-1,9.310638428E-2,1.975891113E-2,9.705517273E0
6.626280000E-1,2.484832764E-2,4.490661621E-4,9.781858521E0
6.726690000E-1,-6.990463257E-2,-2.544708252E-2,9.728419647E0
6.827090000E-1,7.843688965E-2,2.424957275E-2,9.657766571E0
6.927490000E-1,-1.407073975E-2,-4.700225830E-2,9.710307312E0
7.027874584E-1,-3.397933960E-2,-4.894821167E-2,9.810000000E0
7.128284583E-1,1.062789917E-2,1.701960754E-1,9.993218994E0
7.228684584E-1,8.487350464E-2,1.428030396E-1,9.913734283E0
7.329084583E-1,-2.874023438E-2,3.308120728E-2,9.693841553E0
7.429484584E-1,1.155596924E-1,1.152603149E-1,9.537566528E0
7.529894583E-1,-2.101629639E-1,1.288819885E-1,9.560768280E0
7.630294584E-1,-1.242416382E-2,1.420545959E-1,9.718989258E0
7.730694584E-1,1.306782532E-1,1.366658020E-1,9.800719299E0
7.831104583E-1,7.708969116E-2,2.417472839E-1,9.735305328E0
7.931504584E-1,-1.898052979E-1,4.052073669E-1,9.562265167E0
8.031904583E-1,-1.582209778E-1,2.739303589E-1,9.738598480E0
