"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.485900000E-1,-6.899091833E-2,1.161754499E-1,-2.315000385E-1
1.586300000E-1,1.195533224E-1,1.056361360E-1,-5.396570742E-2
1.686710000E-1,1.376554707E-2,-6.184210790E-2,-8.584706604E-2
1.787110000E-1,6.337355764E-2,1.286333083E-1,-2.716066754E-1
1.887510000E-1,8.993438856E-2,9.625379428E-2,-3.554282659E-1
1.987920000E-1,-9.012479765E-2,-9.525684401E-2,-2.708453679E-1
2.088320000E-1,-9.623495528E-2,-5.287892930E-4,-2.407503337E-1
2.188720000E-1,8.323448441E-2,6.946346928E-2,-7.608163118E-2
2.289120000E-1,8.075206728E-2,-1.451298385E-1,9.217433810E-2
2.389530000E-1,3.017534209E-2,-4.452445499E-2,7.330537319E-2
2.489620000E-1,2.796156798E-3,1.157193305E-1,-5.201683044E-2
2.590030000E-1,-2.010113405E-1,-1.242466083E-1,2.088683903E-2
2.690430000E-1,3.590778787E-2,-6.510067439E-2,-1.632244402E-1
2.790830000E-1,1.143759053E-1,-3.731921436E-2,-1.738336283E-1
2.891240000E-1,1.100399391E-1,-1.140625220E-1,-7.691076636E-2
2.991640000E-1,7.354337771E-2,-3.758296947E-2,3.684272110E-2
3.092040000E-1,1.013126499E-1,6.939375037E-3,2.174813390E-2
3.192440000E-1,-9.774429523E-2,2.654680674E-2,-8.300414979E-2
3.292850000E-1,3.646782322E-2,4.279388015E-2,-1.858250982E-1
3.393250000E-1,9.271518728E-2,-5.154202740E-2,-5.314534307E-3
3.493650000E-1,-5.158698244E-2,-1.035865133E-1,1.810181022E-2
3.594060000E-1,-1.789649986E-2,-7.101983364E-2,1.969693065E-2
3.694460000E-1,-5.239547420E-2,-5.682511465E-2,-1.034980559E-1
3.794860000E-1,-1.080893445E-1,1.825002800E-2,-2.474641067E-1
3.895260000E-1,-3.441412576E-2,1.242135259E-1,-2.418917102E-1
3.995670000E-1,-1.342375538E-1,-8.681313571E-2,-1.429878116E-2
4.096070000E-1,-6.080366981E-2,-9.535934388E-2,-7.735047698E-2
4.196470000E-1,-6.345874426E-2,1.719854696E-1,-1.462914884E-1
4.296880000E-1,-1.160695056E-1,-1.567951891E-2,-2.733450526E-1
4.397280000E-1,-4.949668050E-3,-7.071354917E-2,-3.674676830E-1
4.497680000E-1,6.926644552E-2,-4.531303424E-2,-3.297332615E-1
4.598080000E-1,-1.130955935E-1,7.054844756E-2,-2.306814283E-1
4.698490000E-1,-1.219253459E-1,3.469157615E-2,-1.880926484E-1
4.798890000E-1,-8.453931799E-2,7.413620772E-2,-1.863449156E-2
4.899290000E-1,9.308598298E-3,9.314276492E-3,-1.147024906E-1
4.999700000E-1,7.231337935E-2,7.795160729E-2,-1.442829698E-1
5.100100000E-1,1.000175739E-1,7.504002281E-2,-1.203386217E-1
5.200500000E-1,-1.283880267E-1,7.532057039E-2,-2.771720552E-1
5.300900000E-1,-1.925938533E-2,5.996341579E-2,-2.570740056E-1
5.401310000E-1,-1.882342515E-2,3.860416741E-2,-1.469446224E-1
5.501710000E-1,-7.569358620E-2,1.200467269E-1,-1.921862841E-1
5.602110000E-1,1.032035573E-1,2.784731338E-1,-1.941684902E-1
5.702520000E-1,4.676648303E-2,1.107371647E-1,-7.456310928E-2
5.802920000E-1,-7.214675198E-2,1.015352918E-1,-1.281662893E-1
5.903320000E-1,1.020814218E-1,1.160203159E-1,-2.769674027E-1
6.003720000E-1,2.688787300E-3,-1.322031705E-2,-1.114555317E-1
6.104130000E-1,-4.953558275E-2,-3.359905131E-2,-1.327358884E-1
6.204530000E-1,2.884667197E-2,2.491658109E-1,-1.061041600E-1
6.304930000E-1,3.437241410E-2,1.083222647E-1,-3.295315325E-2
6.405340000E-1,-4.268819173E-3,3.154632230E-2,-1.639951032E-1
6.505740000E-1,5.012565818E-2,1.471172249E-1,-1.147691488E-1
6.606140000E-1,-5.497794268E-2,8.145571573E-2,-5.522051990E-2
6.706540000E-1,-1.424604018E-1,1.146479653E-1,-7.544019163E-2
6.806950000E-1,3.852263530E-2,1.445228519E-1,-1.441362047E-1
