"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.545720000E-1,-4.934774095E-2,8.445597690E-2,-1.604820961E-1
1.646120000E-1,7.797664069E-2,1.110994363E-1,-1.812110603E-2
1.746220000E-1,-9.884180848E-2,2.086546746E-1,-3.133014160E-1
1.846620000E-1,-1.249086593E-1,3.300621673E-2,-3.591242909E-2
1.947020000E-1,-1.073220802E-1,9.383867495E-3,-1.102931052E-1
2.047430000E-1,1.816586646E-1,2.939106602E-2,1.818951845E-2
2.147830000E-1,9.612637980E-2,1.770990059E-2,-9.300464272E-2
2.248230000E-1,9.902729312E-2,-1.277729910E-1,4.865292728E-2
2.348630000E-1,-2.249371967E-1,-1.771825480E-1,-4.713849843E-2
2.449040000E-1,3.941059895E-2,-2.168255372E-1,4.200055003E-2
2.549440000E-1,-1.119805934E-1,-2.827278237E-1,-1.375475621E-1
2.649840000E-1,1.754541841E-1,-3.069173164E-1,4.478967190E-4
2.750250000E-1,6.716886654E-2,-3.672672331E-1,-9.640538335E-2
2.850650000E-1,1.971123440E-1,-3.480764521E-1,2.878116488E-2
2.951050000E-1,-1.261456195E-1,-3.776325923E-1,-1.669941401E-1
3.051450000E-1,-6.485676784E-3,-2.667827225E-1,-5.612976193E-2
3.151860000E-1,-1.344287121E-1,-1.105615655E-1,-1.118736076E-1
3.252260000E-1,3.379274764E-1,-6.611143414E-2,-4.024170756E-2
3.352660000E-1,1.355573892E-1,-1.511584184E-1,-1.590337408E-1
3.453070000E-1,7.511307646E-2,-1.194182334E-1,-9.080024242E-2
3.553470000E-1,-2.136231634E-1,-2.536777966E-2,-2.256563312E-1
3.653870000E-1,2.625845678E-2,1.511304248E-2,-5.412241280E-2
3.754270000E-1,-5.818818284E-2,7.622090455E-2,-1.878698695E-1
3.854680000E-1,1.856923298E-1,2.806539260E-1,-2.689643186E-1
3.955080000E-1,4.444989385E-2,3.073328707E-1,-3.737984633E-1
4.055480000E-1,2.485458050E-1,1.646486027E-1,-2.109020519E-1
4.155880000E-1,-4.576867852E-2,1.046649409E-1,-2.526195967E-1
4.256290000E-1,-1.278447656E-1,2.376002924E-1,-1.766999334E-1
4.356690000E-1,-3.146351659E-1,1.583566332E-1,-3.020753467E-1
4.457090000E-1,7.432061428E-2,8.118756607E-2,-2.999212325E-1
4.557500000E-1,-4.550796580E-2,2.289039478E-1,-2.881502026E-1
4.657900000E-1,7.812004365E-2,2.006029125E-1,-1.562668383E-1
4.758300000E-1,-1.970026539E-1,1.657494141E-1,-2.975414157E-2
4.858700000E-1,2.060445506E-2,1.233776024E-1,-5.522519767E-2
4.959110000E-1,-2.819944915E-1,6.846004140E-2,-1.756363249E-1
5.059510000E-1,-1.429435189E-1,9.563830175E-2,-1.180927062E-1
5.159910000E-1,-1.101970465E-1,1.273497988E-1,-1.844322914E-1
5.260320000E-1,1.525786888E-1,2.708357200E-4,-6.178285003E-2
5.360720000E-1,-8.824071513E-2,5.500475764E-2,-1.449711871E-1
5.461120000E-1,-1.903059657E-1,6.619519550E-2,-1.121034032E-1
5.561520000E-1,-2.239837717E-1,7.556086354E-2,-6.566072345E-2
5.661930000E-1,9.183033910E-2,2.313034259E-2,-9.927870512E-2
