"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.754193115E-1,-7.680528259E-1,9.881251831E0
1.001000003E-2,-2.245330811E-1,-7.933502197E-1,9.964179382E0
2.002000000E-2,-3.263214111E-1,-7.071295166E-1,9.802665253E0
3.006000002E-2,-1.652563477E-1,-6.923103333E-1,9.765093384E0
4.009999998E-2,-3.839515686E-1,-5.728587341E-1,9.623038788E0
5.014000001E-2,-2.607577515E-1,-5.873785400E-1,9.824070740E0
6.018100004E-2,-4.574487305E-1,-4.772076416E-1,9.729018402E0
7.022100000E-2,-1.776805115E-1,-4.529580688E-1,9.688901825E0
8.026100002E-2,-3.544628906E-1,-4.381388855E-1,9.526938629E0
9.030200000E-2,2.065704346E-2,-3.899391174E-1,9.551038513E0
1.003420000E-1,-3.739224243E-1,-4.129911804E-1,9.439819794E0
1.103820000E-1,-2.487826538E-1,-4.014651489E-1,9.607321472E0
1.204220000E-1,-5.453160095E-1,-3.855981445E-1,9.457483063E0
1.304630000E-1,-1.237925720E-1,-3.698808289E-1,9.562115479E0
1.405030000E-1,-3.038681030E-1,-2.522254944E-1,9.561067657E0
1.505430000E-1,-2.185455322E-1,-3.743714905E-1,9.670789490E0
1.605840000E-1,-3.029699707E-1,-4.396357727E-1,9.762398987E0
1.706240000E-1,-2.406994629E-1,-3.062631226E-1,9.581575012E0
1.806640000E-1,-4.715194702E-1,-3.965254211E-1,9.637109528E0
1.907040000E-1,-3.833528137E-1,-4.959187317E-1,9.712852020E0
2.007450000E-1,-2.538720703E-1,-4.944218445E-1,9.730664978E0
2.107850000E-1,-8.936416626E-2,-4.733157349E-1,9.735904083E0
2.208250000E-1,-2.112107849E-1,-5.836363220E-1,9.827663269E0
2.308660000E-1,-3.683839417E-1,-6.863227844E-1,9.761949921E0
2.409060000E-1,-3.779640198E-1,-6.533912659E-1,9.850565643E0
2.509460000E-1,-2.665956116E-1,-6.490502930E-1,9.686656494E0
2.609860000E-1,-3.158432007E-1,-6.846762085E-1,9.788744202E0
2.710270000E-1,-1.794767761E-1,-7.894583130E-1,9.695637817E0
2.810670000E-1,-1.998344421E-1,-7.849676514E-1,9.841284943E0
2.911070000E-1,-2.528242493E-1,-8.241860962E-1,9.635612640E0
3.011480000E-1,-3.878434753E-1,-7.912545776E-1,9.716145172E0
3.111880000E-1,-3.360511780E-1,-6.764433289E-1,9.642348633E0
3.212280000E-1,-2.339634705E-1,-5.590873718E-1,9.797725525E0
3.312380000E-1,7.200027466E-2,-6.511459351E-1,9.637708282E0
3.412780000E-1,-3.074606323E-1,-6.783892822E-1,9.749825134E0
3.513180000E-1,-3.104544067E-1,-6.415658569E-1,9.523046722E0
3.613590000E-1,-4.688250732E-1,-5.670208740E-1,9.723928986E0
3.713990000E-1,-1.996847534E-1,-5.792953491E-1,9.633816376E0
3.814390000E-1,-3.068618774E-1,-4.041595459E-1,9.586664429E0
3.914800000E-1,-1.083746338E-1,-3.031196594E-1,9.372759247E0
4.015200000E-1,-1.826202393E-1,-3.847000122E-1,9.586365051E0
4.115600000E-1,-1.336720276E-1,-5.394781494E-1,9.489067383E0
4.216000000E-1,-3.977229309E-1,-4.305047607E-1,9.665101318E0
4.316410000E-1,-5.798941040E-1,-4.147874451E-1,9.495953064E0
4.416810000E-1,-3.246748352E-1,-5.388793945E-1,9.535171509E0
4.517210000E-1,-3.234773254E-1,-4.531077576E-1,9.417965240E0
4.617620000E-1,-1.983375549E-1,-3.899391174E-1,9.600585480E0
4.718020000E-1,-4.246669006E-1,-4.399351501E-1,9.667047272E0
4.818420000E-1,-3.194357300E-1,-4.584965515E-1,9.826166382E0
4.918820000E-1,-4.236190796E-1,-5.236111450E-1,9.605974274E0
5.019230000E-1,-5.035528564E-1,-5.295986938E-1,9.708061981E0
5.119630000E-1,-4.352947998E-1,-4.495152283E-1,9.559870148E0
5.220030000E-1,-2.191442871E-1,-5.493576050E-1,9.713001709E0
5.320440000E-1,-2.441423035E-1,-5.706134033E-1,9.620344391E0
5.420840000E-1,-4.572990417E-1,-5.137316895E-1,9.706415405E0
5.521240000E-1,-5.474116516E-1,-5.049000549E-1,9.674232330E0
5.621640000E-1,-2.956352234E-1,-5.228627014E-1,9.774224396E0
5.722050000E-1,-3.159928894E-1,-5.831872559E-1,9.585616608E0
5.822450000E-1,-3.707789612E-1,-5.614823914E-1,9.760453033E0
5.922850000E-1,-2.793191528E-1,-3.914360046E-1,9.704319763E0
6.023260000E-1,-1.128652954E-1,-4.773573303E-1,9.766739960E0
6.123660000E-1,-2.390528870E-1,-7.315287781E-1,9.639055481E0
6.224060000E-1,-2.468367004E-1,-5.999523926E-1,9.750274200E0
6.324460000E-1,-2.686912537E-1,-3.451821899E-1,9.766590271E0
6.424870000E-1,-1.342707825E-1,-4.046086121E-1,1.005878265E1
6.525270000E-1,-1.329235840E-1,-5.541476440E-1,9.931696930E0
6.625741667E-1,-2.823129272E-1,-3.716770935E-1,9.811347198E0
6.726151667E-1,-3.034190369E-1,-2.477348328E-1,9.577832794E0
6.826551667E-1,-1.203497314E-1,-4.007167053E-1,9.719288635E0
