"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.768681541E1,1.765364445E1,1.108832188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.284091949E-3,4.768681033E1,1.765366475E1,1.108832188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
8.284091949E-3,4.768681509E1,1.765365539E1,1.108832188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.269922018E0,4.768684852E1,1.765372821E1,1.108832188E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.663534284E0,4.768690026E1,1.765408291E1,1.136455346E2,4.739543915E0,-1.000000000E0,1.600000000E1,1.600000000E1
4.663599849E0,4.768690217E1,1.765416041E1,9.934581299E1,5.678656578E0,-1.000000000E0,2.400000000E1,2.400000000E1
5.663658977E0,4.768691367E1,1.765429936E1,1.165207262E2,5.678656578E0,-1.000000000E0,2.400362482E1,2.400362482E1
6.663719893E0,4.768688430E1,1.765442980E1,1.137225330E2,6.373370647E0,1.435273549E2,1.600241655E1,1.600241655E1
7.800779939E0,4.768679522E1,1.765450987E1,1.151853362E2,9.254923820E0,1.345784302E2,1.600241655E1,1.600241655E1
8.800835967E0,4.768673433E1,1.765460167E1,1.153466266E2,9.254923820E0,1.343220367E2,1.200181241E1,1.200181241E1
9.790620565E0,4.768667696E1,1.765468866E1,1.153715309E2,9.243442535E0,1.343220367E2,1.200181241E1,1.200181241E1
1.079067254E1,4.768662420E1,1.765476867E1,1.153793635E2,9.139893532E0,1.343220367E2,1.200181241E1,1.200181241E1
1.182031059E1,4.768656794E1,1.765485398E1,1.153834426E2,9.190818787E0,1.343220367E2,1.200181241E1,1.200181241E1
1.282035959E1,4.768651426E1,1.765493538E1,1.153859380E2,9.331914902E0,1.343220367E2,8.001208274E0,8.001208274E0
1.383073211E1,4.768645844E1,1.765502003E1,1.153874646E2,9.190818787E0,1.343220367E2,8.001208274E0,8.001208274E0
