"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.878611667E-1,-1.478905231E-2,-1.443337742E-2,-1.960760169E-2
9.979011667E-1,-8.230275474E-3,1.729673706E-3,-2.008425258E-2
1.007942167E0,-7.033983245E-3,-7.238965482E-4,-2.075270377E-2
1.017951167E0,-4.392490722E-3,-3.687104210E-3,-2.803662233E-2
1.027992167E0,-4.467858002E-3,-4.991520662E-3,-3.097116016E-2
1.038032167E0,-8.262222633E-3,-2.039947920E-2,-3.209058940E-2
1.048072167E0,2.240752336E-3,-7.763578556E-3,-3.494736180E-2
1.058113167E0,3.381256945E-3,-6.658695638E-3,-3.570463881E-2
1.068153167E0,-4.118205048E-3,-1.625033654E-2,-3.792198747E-2
1.078193167E0,5.254796706E-4,-1.534631103E-2,-4.195927083E-2
1.088233167E0,-1.087330282E-3,-9.396010078E-3,-4.611033946E-2
1.098274167E0,5.372502375E-3,-8.702405728E-3,-4.917783663E-2
1.108314167E0,-5.346555263E-4,-3.739604726E-3,-5.303303152E-2
1.118354167E0,3.975383937E-3,-4.444587044E-3,-5.429294705E-2
1.128395167E0,6.247326732E-3,-2.728978870E-3,-5.724240094E-2
1.138435167E0,9.941884317E-3,1.265443116E-2,-5.902027711E-2
1.148475167E0,6.979118101E-3,1.294205151E-2,-6.022509560E-2
1.158515167E0,2.749371808E-3,2.849446610E-4,-6.567274034E-2
1.168556167E0,9.318324737E-3,8.599866182E-3,-7.082915306E-2
1.178596167E0,1.270272769E-2,2.119233832E-4,-7.151336968E-2
1.188636167E0,1.723888889E-2,5.677795503E-3,-7.322525978E-2
1.198677167E0,9.148217738E-3,-1.502493676E-2,-7.822562009E-2
1.208717167E0,1.757579111E-2,9.593563154E-4,-7.726874202E-2
1.218757167E0,1.553703286E-2,-1.237777434E-2,-8.072782308E-2
1.228797167E0,1.766250283E-2,-7.068495732E-3,-8.503601700E-2
1.238838167E0,1.272206008E-2,-1.094354782E-2,-8.575239033E-2
1.248878167E0,2.272995189E-2,-4.264586605E-4,-9.023263305E-2
1.258918167E0,9.297411889E-3,3.832599148E-3,-9.430611134E-2
1.268959167E0,9.310461581E-3,5.968987010E-3,-9.628883004E-2
1.278999167E0,6.782558281E-3,4.594386555E-3,-9.720572084E-2
1.289039167E0,6.106115412E-3,-7.812040858E-4,-9.996582568E-2
1.299079167E0,1.141066290E-2,9.250984527E-3,-1.021195948E-1
1.309120167E0,2.393465955E-3,1.179742627E-3,-1.058038101E-1
1.319160167E0,-1.950896345E-3,-1.365289558E-3,-1.042328626E-1
1.329200167E0,-1.280845143E-3,-1.924335957E-4,-1.071319804E-1
1.339241167E0,-7.822749205E-3,3.628990613E-3,-1.094623879E-1
1.349281167E0,-9.293080308E-3,-7.569335401E-3,-1.105284542E-1
1.359321167E0,-9.933691472E-3,-6.117577665E-3,-1.148373336E-1
1.369361167E0,-6.105930544E-3,-2.444279846E-3,-1.180544347E-1
1.379402167E0,-8.059010841E-3,2.572549041E-3,-1.194912940E-1
1.389442167E0,-3.647483885E-3,5.172860343E-3,-1.190350950E-1
1.399482167E0,-1.000960451E-2,1.012487244E-2,-1.214507446E-1
1.409522167E0,-9.043144993E-3,-6.210425403E-3,-1.255259067E-1
1.419563167E0,-4.909328185E-3,3.685041796E-3,-1.281196326E-1
1.429603167E0,-1.635238528E-3,-3.453827696E-3,-1.275947243E-1
1.439643167E0,9.864405729E-4,-2.103645355E-3,-1.295452714E-1
1.449684167E0,3.982763272E-3,7.798253559E-3,-1.297428757E-1
1.459693167E0,5.550528876E-4,2.229507081E-4,-1.316087395E-1
1.469734167E0,6.572199054E-3,8.961580694E-3,-1.335864067E-1
1.479774167E0,9.108016267E-3,5.117782392E-3,-1.345104724E-1
1.489814167E0,1.650254987E-2,7.223010994E-3,-1.340960860E-1
1.499855167E0,1.276574470E-2,1.369453967E-4,-1.366294324E-1
1.509895167E0,1.649390347E-2,4.090941045E-3,-1.317321360E-1
1.519935167E0,1.113001816E-2,-6.078868173E-4,-1.342386901E-1
1.529975167E0,1.616365835E-2,5.516318604E-3,-1.344376355E-1
1.540016167E0,1.247714460E-2,-1.242458448E-2,-1.371293962E-1
1.550056167E0,1.702103019E-2,-9.322533384E-3,-1.388572603E-1
1.560096167E0,1.323654875E-2,-7.987851277E-3,-1.416558474E-1
1.570137167E0,1.136274915E-2,-2.300671302E-3,-1.404938996E-1
1.580177167E0,7.436198648E-3,-7.543751504E-3,-1.400318444E-1
1.590217167E0,1.692850515E-2,1.270106621E-2,-1.355718523E-1
1.600257167E0,1.479102112E-2,1.304291002E-2,-1.382475197E-1
1.610298167E0,5.467561074E-3,1.148895547E-2,-1.365470886E-1
1.620338167E0,7.708625868E-3,1.547033712E-2,-1.431746483E-1
1.630378167E0,1.102388371E-3,-5.754753947E-4,-1.429578662E-1
1.640418167E0,5.061364733E-3,7.977602072E-3,-1.410650760E-1
1.650459167E0,4.350300878E-3,5.843344145E-3,-1.416344494E-1
1.660500292E0,6.154836155E-4,7.640179247E-3,-1.363201141E-1
1.670540292E0,7.000678685E-3,4.854512401E-3,-1.409633458E-1
1.680581292E0,3.886854742E-3,-2.157963347E-3,-1.422802210E-1
1.690621292E0,1.020067744E-2,1.770731993E-3,-1.445881128E-1
1.700661292E0,4.905836191E-3,-1.030206960E-2,-1.464798152E-1
1.710701292E0,1.124389283E-2,3.798303194E-3,-1.423407197E-1
1.720742292E0,5.675712600E-3,4.347414244E-3,-1.456640512E-1
1.730782292E0,1.123319753E-2,5.702697206E-3,-1.455114484E-1
1.740822292E0,1.872419380E-2,9.200740606E-3,-1.434691250E-1
1.750863292E0,1.072965097E-2,1.150703803E-2,-1.476010233E-1
1.760903292E0,1.263668295E-2,-5.359008908E-3,-1.449694932E-1
1.770943292E0,2.107410878E-2,2.471846715E-2,-1.457932144E-1
1.780983292E0,9.742999449E-3,1.048298553E-3,-1.440835595E-1
1.791024292E0,1.621687785E-2,1.668282319E-3,-1.479890943E-1
1.801064292E0,1.505452394E-2,1.195550524E-2,-1.489175856E-1
1.811104292E0,6.401646882E-3,-1.633099467E-2,-1.529378891E-1
1.821145292E0,1.032689586E-2,-5.293553695E-3,-1.525440216E-1
1.831185292E0,1.469474658E-2,4.562272690E-3,-1.530444324E-1
1.841225292E0,6.662875414E-3,-2.047225274E-2,-1.553858370E-1
1.851265292E0,1.972621307E-2,7.557517383E-3,-1.560018212E-1
1.861306292E0,7.975942455E-3,-1.866684295E-2,-1.619040519E-1
1.871346292E0,3.340177704E-3,-8.610481396E-3,-1.617818177E-1
1.881386292E0,8.106703870E-3,-8.253617212E-3,-1.611040384E-1
1.891427292E0,5.262447521E-3,-1.152184792E-2,-1.633325815E-1
1.901436292E0,6.006124429E-3,-1.452565752E-2,-1.635904908E-1
1.911477292E0,4.531531595E-3,-1.909777336E-2,-1.676286310E-1
1.921517292E0,-2.189041115E-3,-3.261666000E-2,-1.745841950E-1
1.931557292E0,9.836995043E-3,-2.591667883E-2,-1.765131205E-1
1.941597292E0,4.696440883E-3,-2.208664827E-2,-1.725347787E-1
1.951638292E0,-1.612587832E-3,-2.412023768E-2,-1.729449034E-1
1.961678292E0,4.579585046E-3,-2.176864073E-3,-1.730690747E-1
1.971718292E0,-1.425043680E-3,-6.339384709E-3,-1.760693938E-1
1.981759292E0,6.784208585E-3,-4.757471383E-3,-1.805067956E-1
1.991799292E0,4.537299275E-3,1.342226751E-4,-1.842307001E-1
2.001839292E0,1.113877725E-2,-7.290902548E-3,-1.870867014E-1
2.011879292E0,9.677766822E-3,3.339903429E-3,-1.807854027E-1
2.021920292E0,9.909976274E-3,7.862448692E-3,-1.806330532E-1
2.031960292E0,5.726416595E-3,2.475406509E-3,-1.778455228E-1
2.042000292E0,1.188141294E-2,1.791321859E-2,-1.834367216E-1
2.052041292E0,4.189937375E-3,-4.720721394E-3,-1.890061945E-1
